Number of learnable parameters: 50402
train_leads.py sm --device cuda:0
Calling the run method
[1][1/1000][1/1] | loss: 3.609e+00 | loss_train: 6.805e-01 | loss_e0: 7.158e+00 | loss_e1: 7.159e+00 | loss_e2: 3.172e+00 | loss_e3: 2.424e+00 | loss_e4: 9.359e-01 | loss_e5: 8.031e-01
[89][89/1000][1/1] | loss: 3.833e-02 | loss_train: 1.248e-02 | loss_e0: 1.306e-02 | loss_e1: 1.329e-01 | loss_e2: 4.220e-03 | loss_e3: 8.156e-04 | loss_e4: 7.252e-02 | loss_e5: 6.499e-03
[90][90/1000][1/1] | loss: 4.337e-02 | loss_train: 1.595e-02 | loss_e0: 1.184e-02 | loss_e1: 1.621e-01 | loss_e2: 3.894e-03 | loss_e3: 7.279e-04 | loss_e4: 7.625e-02 | loss_e5: 5.421e-03
[91][91/1000][1/1] | loss: 4.040e-02 | loss_train: 1.286e-02 | loss_e0: 1.111e-02 | loss_e1: 1.510e-01 | loss_e2: 3.710e-03 | loss_e3: 7.016e-04 | loss_e4: 7.139e-02 | loss_e5: 4.508e-03
[92][92/1000][1/1] | loss: 3.986e-02 | loss_train: 1.153e-02 | loss_e0: 1.117e-02 | loss_e1: 1.325e-01 | loss_e2: 3.711e-03 | loss_e3: 7.348e-04 | loss_e4: 8.647e-02 | loss_e5: 4.540e-03
[93][93/1000][1/1] | loss: 5.047e-02 | loss_train: 1.185e-02 | loss_e0: 1.165e-02 | loss_e1: 1.302e-01 | loss_e2: 3.763e-03 | loss_e3: 8.009e-04 | loss_e4: 1.506e-01 | loss_e5: 5.763e-03
[94][94/1000][1/1] | loss: 4.817e-02 | loss_train: 1.132e-02 | loss_e0: 1.144e-02 | loss_e1: 1.408e-01 | loss_e2: 3.748e-03 | loss_e3: 7.919e-04 | loss_e4: 1.259e-01 | loss_e5: 6.371e-03
[95][95/1000][1/1] | loss: 4.138e-02 | loss_train: 1.059e-02 | loss_e0: 1.041e-02 | loss_e1: 1.483e-01 | loss_e2: 3.645e-03 | loss_e3: 6.846e-04 | loss_e4: 8.014e-02 | loss_e5: 5.131e-03
[96][96/1000][1/1] | loss: 3.879e-02 | loss_train: 1.046e-02 | loss_e0: 1.020e-02 | loss_e1: 1.455e-01 | loss_e2: 3.517e-03 | loss_e3: 5.900e-04 | loss_e4: 6.818e-02 | loss_e5: 4.769e-03
[97][97/1000][1/1] | loss: 4.053e-02 | loss_train: 1.103e-02 | loss_e0: 1.094e-02 | loss_e1: 1.447e-01 | loss_e2: 3.429e-03 | loss_e3: 5.822e-04 | loss_e4: 7.639e-02 | loss_e5: 7.181e-03
[98][98/1000][1/1] | loss: 4.233e-02 | loss_train: 1.260e-02 | loss_e0: 1.115e-02 | loss_e1: 1.501e-01 | loss_e2: 3.393e-03 | loss_e3: 5.947e-04 | loss_e4: 8.004e-02 | loss_e5: 8.687e-03
[99][99/1000][1/1] | loss: 4.459e-02 | loss_train: 1.054e-02 | loss_e0: 1.091e-02 | loss_e1: 1.701e-01 | loss_e2: 3.380e-03 | loss_e3: 5.941e-04 | loss_e4: 7.614e-02 | loss_e5: 6.428e-03
[100][100/1000][1/1] | loss: 4.867e-02 | loss_train: 1.018e-02 | loss_e0: 1.022e-02 | loss_e1: 1.772e-01 | loss_e2: 3.344e-03 | loss_e3: 5.491e-04 | loss_e4: 9.629e-02 | loss_e5: 4.380e-03

Print loss test
: [0.042155418545007706, 0.1404346227645874, 0.12227246910333633, 0.11423495411872864]
[100][100/1000][1/1] | loss_test_mean: 1.048e-01 | loss_test_std: 4.316e-02
[101][101/1000][1/1] | loss: 4.744e-02 | loss_train: 1.028e-02 | loss_e0: 1.073e-02 | loss_e1: 1.696e-01 | loss_e2: 3.295e-03 | loss_e3: 5.417e-04 | loss_e4: 9.315e-02 | loss_e5: 7.344e-03
